Meal_ID,Dish_Name,Calories,Carbohydrates,Protein,Fats,Sodium,Fibre,Calcium,Iron,,
47,Bisi Bele Bath,210,38,7,5,280,6,60,2,,
48,Masala Oats,150,25,6,3,170,4,50,1.5,,
49,Vegetable Semiya Upma,160,28,4,4,190,3,40,1.2,,
50,Quinoa Khichdi,200,35,7,4,150,5,50,2,,
51,Mixed Vegetable Raita,100,10,4,5,120,2,150,0.8,,
52,Lauki Chana Dal,140,20,7,4,180,5,60,1.8,,
53,Cabbage Poriyal,80,10,2,3,100,3,40,0.8,,
54,Beetroot Poriyal,90,12,2,3,110,3,50,1,,
55,Kootu (Mixed Veg Lentil Stew),150,22,6,5,200,5,70,1.8,,
56,Soya Chunks Curry,160,12,15,6,180,4,100,3,,
57,Whole Moong Sabzi,140,18,8,4,160,6,60,2.2,,
58,Chole Palak (Chickpea-Spinach Curry),170,25,8,5,200,7,90,2.5,,
59,Corn Palak,150,25,6,4,180,5,80,1.8,,
60,Paneer Tikka (grilled),180,6,15,10,200,1,250,1.5,,
61,Tandoori Gobi (Cauliflower),120,15,4,5,150,4,60,1.5,,
62,Hara Bhara Kabab,130,15,6,6,160,5,80,2,,
63,Vegetable Cutlet (baked),140,20,4,5,180,4,50,1.2,,
64,Mixed Vegetable Soup,90,15,3,2,200,4,40,1,,
65,Kachumber Salad,50,8,2,1,100,2,30,0.7,,
66,Guvar-Phali Dhokli Curry,130,20,6,4,180,5,60,1.8,,
67,Doodhi Muthia (Steamed Lauki Snack),100,18,4,2,120,3,50,1.2,,
68,Broccoli Stir-Fry,80,10,4,3,100,4,60,1.2,,
69,Red Pumpkin Curry,120,20,3,4,150,5,50,1.5,,
70,Kadhi Pakora (baked/fried options),160,20,6,6,250,3,120,1.5,,
71,Spinach Corn Curry,150,22,6,5,180,5,90,2,,
72,Soya Matar Curry,160,18,12,6,190,5,100,2.5,,
73,Jackfruit Curry,140,25,3,5,160,6,50,1.5,,
74,Chickpea Salad,120,18,6,3,150,6,60,2,,
75,Raw Mango Dal,130,20,6,4,180,5,50,1.8,,
76,Tomato Pappu (Andhra Lentil Tomato),140,22,6,4,200,5,60,1.8,,
77,Drumstick Sambar,150,20,7,5,220,6,70,2,,
78,Carrot Beans Thoran,90,12,3,3,110,4,50,1.2,,
79,Multigrain Dosa,130,22,5,3,140,4,80,1.8,,
80,Quinoa Vegetable Biryani,220,35,8,6,200,5,60,2.2,,
81,Vegetable Stew (Kerala),160,20,4,6,180,4,60,1.5,,
82,Coconut Chutney,100,8,2,7,150,3,20,0.8,,
83,Mint Chutney,50,6,2,2,120,2,30,1,,
84,Rajma Tikki (Baked),140,20,6,5,160,5,60,1.8,,
85,Baida Roti (Egg Paratha),220,25,10,8,250,2,100,2,,
86,Healthy Poha (Flattened Rice),150,30,4,3,120,3,40,1.2,,
87,Vermicelli Upma,170,30,4,4,180,2,30,0.9,,
88,Mixed Dal Paratha,180,28,8,6,200,5,80,2,,
89,Beetroot Paratha,140,25,5,3,180,4,80,1.5,,
90,Cabbage Paratha,130,22,5,4,160,4,60,1.2,,
91,Methi Muthia (Steamed),110,18,5,3,140,4,80,1.8,,
92,Lauki Thepla,120,20,4,3,150,4,70,1.5,,
93,Vegetable Sambar Rice,200,35,7,5,250,6,70,2,,
94,Sweet Potato Chaat,130,25,2,3,120,4,40,1,,
95,Rajgira (Amaranth) Chilla,120,18,5,3,130,4,100,2.5,,
96,Stir Fried Zucchini,70,8,2,3,90,3,30,0.8,,
97,Sattu Paratha,160,25,7,5,180,5,90,2.2,,
98,Kale & Potato Curry,120,18,4,4,150,5,100,2,,
99,Sabudana Khichdi (light/less oil),180,35,2,4,100,2,20,0.7,,
100,Egg Curry (vegetarian with eggs),150,4,12,9,300,1,80,1.5,,
101,Grilled Tandoori Chicken,190,2,25,8,400,0,20,1.8,,
102,Baked Herb Chicken,180,1,24,7,350,0,15,1.5,,
103,Chicken Curry (low oil),170,5,20,7,300,1,40,1.8,,
104,Chicken Saagwala (Spinach Chicken),190,6,22,8,320,2,120,2.2,,
105,Andhra Pepper Chicken,200,4,23,9,350,1,30,1.8,,
106,Chicken Sukka (light version),180,3,21,8,300,1,25,1.5,,
107,Chicken Stew (Kerala),160,8,18,6,280,2,50,1.2,,
108,Chicken Dalcha (with lentils),190,15,18,7,320,5,70,2,,
109,Chicken Jalfrezi (grilled/low oil),170,6,20,7,300,2,40,1.5,,
110,Chicken Shorba (Soup),90,4,12,3,250,1,30,1,,
111,Chettinad Chicken (less oil),200,5,22,9,350,1,35,1.8,,
112,Chicken Ghee Roast (minimal ghee),210,3,23,10,380,1,25,1.5,,
113,Butter Chicken (light yogurt-based),220,8,20,12,400,1,80,1.8,,
114,Kadai Chicken (light sauce),190,5,21,8,350,2,40,1.5,,
115,Fish Curry (Bengali/Mangalorean/Kerala),170,5,20,7,350,1,60,2.5,,
116,Grilled Tandoori Fish,160,2,22,6,300,0,50,1.8,,
117,Fish Stew,150,6,18,5,280,1,60,1.5,,
118,Fish in Mustard Sauce (Shorshe Maach),180,4,21,8,320,1,70,2,,
119,Fish Biryani (brown rice),240,30,20,8,400,3,80,2.5,,
120,Prawn Curry (light coconut),190,6,22,8,340,1,100,2.8,,
121,Coconut Shrimp Curry,200,8,20,10,360,2,120,3,,
122,Grilled Tandoori Prawns,170,2,23,6,310,0,110,2.5,,
123,Egg Curry (boiled egg in light gravy),150,4,12,9,300,1,80,1.5,,
124,Anda Bhurji (Egg Bhurji),160,5,13,10,280,1,90,1.8,,
125,Egg Pulao (brown rice),220,30,12,8,350,3,70,2,,
126,Egg Parantha,220,25,10,8,250,2,100,2,,
127,Lamb Rogan Josh (minimal oil and lean meat),220,3,25,10,380,1,30,2.5,
128,Hyderabadi Chicken Biryani (brown rice),260,35,20,9,450,4,60,2.8,,
129,Mutton Dalcha (lamb with lentils),230,15,22,10,400,6,80,3,,
130,Keema Matar (minced mutton/peas and light oil),210,8,22,10,370,3,50,2.5,
131,Grilled Seekh Kebabs (chicken/kheema),180,2,23,8,350,1,20,2,,
132,Mutton Stew (with vegetables),190,10,20,8,320,3,60,2.2,,
133,Fish Tikka Masala,200,6,22,9,380,1,70,2,,
134,Fish Moilee (Kerala coconut fish curry),190,8,20,8,340,2,80,2.2,,
135,Malabar Prawn Curry,210,7,23,9,360,1,130,3,,
136,Egg Curry (Mughlai style light),160,5,13,9,310,1,90,1.8,
137,Rava Fried Fish (shallow-fried),220,15,20,10,400,1,60,2,,
138,Green Chutney Chicken,180,4,22,8,330,1,40,1.8,,
139,Tandoori Pomfret,170,2,23,7,310,0,70,2.2,,
140,Kolhapuri Mutton (light version),230,5,25,11,420,2,40,3,,
141,Dum Ka Jhinga (Prawn Dum Cooked),200,5,24,9,370,1,140,3.2,,
142,Egg Omelet Curry,170,5,14,10,290,1,100,2,,
143,Bhuna Chicken (less oil),180,4,21,8,340,1,35,1.8,,
144,Lemon Fish Curry,160,5,20,7,330,1,60,2,,
145,Lemon Chicken (grilled),170,3,22,7,320,1,25,1.5,,
146,Dhania Chicken (Cilantro),180,4,22,8,330,1,40,1.8,,
147,Soya Chicken Curry (mix of soya and chicken),190,8,20,8,350,3,90,2.5,,
148,Amritsari Fish,210,10,22,9,390,1,70,2.2,,
149,Methi Murg (Chicken with Fenugreek),190,5,22,8,340,2,60,2,,
150,Chilli Egg Whites (stir-fried),120,3,15,5,250,1,60,1.5,,
151,Idli,70,14,3,1,150,2,40,0.8,,
152,Rava Idli,90,18,3,2,130,2,30,0.7,,
153,Rava Kichidi,150,25,4,4,180,3,40,1,,
154,Poori,180,25,4,7,200,2,20,1,,
155,Batura,200,30,5,8,220,2,30,1.2,,
156,Palak Poori,160,25,5,5,190,3,80,1.5,,
157,Maida Poori,190,28,4,8,210,1,20,0.8,,
158,Idiyappam,120,25,3,1,100,2,20,0.7,,
159,Poha,150,30,4,3,120,3,40,1.2,,
160,Pongal,200,35,6,5,150,3,40,1.2,,
161,Oats Pongal,180,30,6,4,160,4,50,1.5,,
162,Oats Upma,150,25,6,3,170,4,50,1.5,,
163,Arisi Upma (Rice Rava Upma),160,28,4,4,190,3,40,1.2,,
164,Rava Upma,160,28,4,4,190,3,40,1.2,,
165,Broken Wheat Upma,170,30,5,4,180,4,50,1.5,,
166,Semiya Upma,170,30,4,4,180,2,30,0.9,,
167,Bread Upma,180,30,5,5,200,3,60,1.2,,
168,Idli Upma,140,25,4,3,160,3,50,1,,
169,Aval Upma (Flattened Rice Upma),150,30,4,3,120,3,40,1.2,,
170,Tamarind Aval,160,32,3,4,130,3,30,1,,
171,Thayir Semiya (Curd Vermicelli),140,25,5,3,150,2,120,0.8,,
172,Akki Roti (Rice Flour Patties),130,25,3,3,120,3,30,1,,
173,Kuzhi Paniyaaram,120,18,4,4,130,3,50,1.2,,
174,Upma Kozhukattai,140,25,3,4,150,3,40,1,,
175,Kara Kozhukattai,150,26,4,4,160,3,50,1.2,,
176,Puttu,130,28,3,1,100,3,20,0.8,,
177,Dhokla,90,15,5,2,150,3,60,1,,
178,Ragi Puttu,120,22,4,2,110,4,100,2,,
179,Chapati,100,20,3,2,150,2,20,1,,
180,Phulka,90,18,3,1,140,2,15,0.8,,
181,Aloo Paratha,220,35,6,7,250,4,60,1.5,,
182,Cheese Pav Bhaji,300,40,10,12,400,5,200,2,,
183,Gobi Paratha,200,30,6,6,220,4,80,1.5,,
184,Methi Paratha,180,28,6,5,200,4,100,1.8,,
185,Sabudhana Khichidi,180,35,2,4,100,2,20,0.7,,
186,Kanchipuram Idli,80,15,4,2,160,3,50,1,,
187,Medhu Vada (Urad Dal Vada),150,20,5,6,180,4,60,1.5,,
188,Parotta,220,35,5,8,250,2,30,1.2,,
189,Naan (without yeast),200,35,6,5,300,2,40,1,,
190,Idli Sambar,180,30,7,4,250,6,70,2,,
191,Kosmalli (Moong Salad),70,10,6,2,50,4,40,1.5,,
192,Vengaya Gotsu (Onion Gravy),100,15,2,4,200,3,30,0.8,,
193,Brinjal Gotsu,90,12,2,4,180,3,40,0.9,,
194,Onion Tomato Gotsu,80,10,2,3,150,2,20,0.7,,
195,Vegetable Kurma/Stew,160,20,4,6,180,4,60,1.5,,
196,Poori Masala,140,20,4,5,200,4,50,1.2,,
197,Kumbakonam Kadappa (Potato Curry),150,22,4,5,180,4,50,1.2,,
198,Chettinadu Therakkal (Dry Veg Curry),130,18,4,5,160,4,40,1,,
199,Vada Curry,200,25,8,8,250,5,70,2,,
200,Vegetable Pesarattu (Green Gram Pancake),130,18,7,4,150,5,70,2,,
201,Oats Chilla,120,18,5,3,140,4,60,1.5,,
202,Bajra Khichdi,180,30,6,5,170,5,60,2,,
203,Tilwali Bhindi,110,12,4,5,130,4,60,1.5,,
204,Zunka Bhakar,140,20,6,5,160,5,80,2,,
205,Tamatar kadhi,120,15,4,5,200,3,120,1.2,,
206,Sukha Moong (Dry Green Gram),130,18,8,4,150,6,60,2.2,,
207,Kadle Manoli (Bengal Gram + Tendli Stir Fry),120,16,6,4,140,5,50,1.8,,
208,Amaranth Pesarattu (Millet Pancake),140,20,6,4,150,5,80,2.5,,
209,Saffron Milk (Kesar Doodh),120,18,6,3,100,0,200,0.5,,
210,Ragi Mudde,130,25,4,2,100,4,120,2.5,,
211,Bajra Roti,150,28,5,3,120,4,40,1.5,,
212,Palak Dhokla,100,15,6,3,150,4,120,2,,
213,Kharabath (Veg Semolina Masala),180,25,5,6,200,4,60,1.5,,
214,Vegetable Pulav (Pressure cooker),200,35,5,5,220,4,50,1.5,,
215,Doodhi Halwa (Lauki Dessert),180,30,3,6,100,3,60,1,,
216,Raw Banana Curry,120,20,2,4,150,5,40,1,,
217,Kothimbir Vadi,130,18,6,5,160,4,100,2,,
218,Sprouted Moong Dosa,120,18,7,3,140,6,70,2.5,,
219,Soya Kabab,150,12,12,6,180,4,100,3,,
220,Drumstick Leaves Stir Fry,80,10,5,3,120,4,150,2.5,,
221,Green Gram Chilla,130,18,7,4,150,5,70,2,,
222,Vegetable Idiyappam,140,28,4,3,130,3,40,1,,
223,Multigrain Bhakri,160,28,6,4,140,5,80,2,,
224,Red Rice Poha,150,30,4,3,120,4,40,1.5,,
225,Pumpkin Erissery,120,20,3,4,150,5,50,1.5,,
226,Masoor Dal Usal (Red Lentil Curry),140,20,8,4,160,6,60,2.5,,
227,Lauki Bharta (Bottle Gourd Mash),90,12,3,3,110,4,40,1,,
228,Sweet Potato Raita,100,15,4,3,120,3,80,1,,
229,Wild Rice Pulao,210,35,6,5,200,5,50,1.8,,
230,Horse Gram Rasam,60,10,4,1,200,3,40,1.5,,
231,Patra (Colocasia Roll),140,20,4,5,160,5,80,1.8,,
232,Pumpkin Paratha,150,25,5,4,170,4,60,1.5,,
233,Sorghum Upma,160,28,5,4,170,5,50,1.8,,
234,Millet Pongal,180,30,6,4,160,5,60,2,,
235,Kodo Millet Bisi Bele Bath,190,32,7,5,180,6,70,2.2,,
236,Sattu Drink (Roasted Gram Drink),100,15,5,2,80,3,50,1.5,,
237,Tamatar Chutney,50,6,2,2,120,2,30,1,,
238,Green Peas Soup,90,15,5,2,150,4,40,1.2,,
239,Lotus Stem Curry,100,15,3,3,130,4,60,1.5,,
240,Pineapple Sheera (Semolina Dessert),200,35,3,6,120,2,40,1,,
241,Bhutte ka Kees (Grated Corn Snack),120,20,4,3,100,3,30,0.8,,
242,Baida Paratha (Egg Paratha),220,25,10,8,250,2,100,2,,
243,Amla Rice (Gooseberry Rice),150,28,4,3,120,4,40,1.5,,
244,Karela Chips,100,15,3,4,120,4,40,1.2,,
245,Sattu Ka Paratha,160,25,7,5,180,5,90,2.2,,
246,Paneer Broccoli Stir Fry,160,12,12,8,180,4,200,2,,
247,Lobia Biryani (Black-eyed Beans),210,35,9,6,220,7,80,2.5,,
248,Masala Bhindi Raita,100,12,4,5,130,4,120,1.5,,
249,Red Lentil Soup,120,18,8,3,150,6,50,2,,
250,Dill Leaves Sabzi,80,10,4,3,110,4,100,2.5,,
251,Chitrannam (Lemon Rice),220,40,4,5,250,2,30,1,,
252,Mughlai Biryani (with lean meat/veg),250,40,12,8,400,5,60,2.5,,
253,Easy Saag Paneer,170,12,11,9,180,4,280,1.8,,
254,Chole (Chickpea Curry),160,28,7,4,200,8,50,2.8,,
255,Paneer Bhurji (Scrambled Paneer),160,6,12,10,180,1,250,1.5,,
256,Rajma Chawal (Kidney Beans with Rice),240,40,10,5,250,10,80,3.5,,
257,Mixed Veg Stir Fry,100,12,3,4,120,4,50,1.2,,
258,Mixed Dal Tadka/Lentil Soup,150,22,8,4,300,5,60,2.5,,
259,Quinoa Upma,180,30,7,4,170,5,60,2,,
260,Vegetable Masoor Dal Tadka,160,24,8,5,200,6,70,2.5,,
261,Palak Paneer,180,10,12,10,200,4,300,2,,
262,Aloo Gobi (Potato & Cauliflower),130,20,4,4,180,4,50,1.2,,
263,Millet and Lentil Pulao with Dillweed,200,35,8,5,180,6,70,2.5,,
264,Roasted Sweet Potato and Black Chickpea,180,30,7,5,150,8,80,3,,
265,Sambar with Seasonal Vegetables,150,25,6,4,300,6,60,2.5,,
266,Ragi Mudde (Finger Millet Balls),130,25,4,2,100,4,120,2.5,,
267,Bajra Roti (Pearl Millet Flatbread),150,28,5,3,120,4,40,1.5,,
268,Sarson da Saag and Makki di Roti (Mustard Greens with Cornmeal Bread),200,30,8,7,250,8,200,4,,
269,Sabudana Khichdi (Tapioca Pearls & Peanuts),180,35,2,4,100,2,20,0.7,,
270,Litti Chokha (Roasted Wheat Balls with Mashed Vegetables),220,35,8,7,300,8,100,3,,
271,Kerala Sadya (Vegetarian Feast),300,50,12,10,400,12,200,5,,
272,Dalma (Odisha-style Lentil Vegetable Curry),170,25,8,5,200,7,90,2.5,,
273,Assamese Rice with Dal,200,35,7,4,150,5,50,1.5,,
274,Bisi Bele Bath (Spicy Lentil-Rice-Veg Mix),210,38,7,5,280,6,60,2,,
275,Methi Thepla (Fenugreek Flatbread),120,18,4,4,200,3,100,1.8,,
276,Pesarattu (Green Gram Pancake),130,18,7,4,150,5,70,2,,
277,Patra (Colocasia Rolls),140,20,4,5,160,5,80,1.8,,
278,Oats Chilla,120,18,5,3,140,4,60,1.5,,
279,Amaranth Pesarattu (Millet Pancake),140,20,6,4,150,5,80,2.5,,
280,Tilwali Bhindi (Sesame Okra),110,12,4,5,130,4,60,1.5,,
281,Bajra Khichdi (Millet Porridge),180,30,6,5,170,5,60,2,,
282,Tamatar Kadhi (Tomato Yogurt Sauce),120,15,4,5,200,3,120,1.2,,
283,Sukha Moong (Dry Green Gram),130,18,8,4,150,6,60,2.2,,
284,Drumstick Leaves Stir Fry,80,10,5,3,120,4,150,2.5,,
285,Green Gram Chilla,130,18,7,4,150,5,70,2,,
286,Sprouted Moong Dosa,120,18,7,3,140,6,70,2.5,,
287,Multigrain Bhakri (Mixed Grain Flatbread),160,28,6,4,140,5,80,2,,
288,Red Rice Poha,150,30,4,3,120,4,40,1.5,,
289,Pumpkin Erissery (Kerala Pumpkin Curry),120,20,3,4,150,5,50,1.5,,
290,Horse Gram Rasam,60,10,4,1,200,3,40,1.5,,
291,Sorghum Upma,160,28,5,4,170,5,50,1.8,,
292,Kodo Millet Bisi Bele Bath,190,32,7,5,180,6,70,2.2,,
293,Sattu Drink (Roasted Gram Beverage),100,15,5,2,80,3,50,1.5,,
294,Pineapple Sheera (Semolina Dessert),200,35,3,6,120,2,40,1,,
295,Bhutte ka Kees (Grated Corn Snack),120,20,4,3,100,3,30,0.8,,
296,Oats Pongal,180,30,6,4,160,4,50,1.5,,
297,Oats Upma,150,25,6,3,170,4,50,1.5,,
298,Kosmalli (Moong Salad),70,10,6,2,50,4,40,1.5,,
299,Brinjal Gotsu (Eggplant Gravy),90,12,2,4,180,3,40,0.9,,
300,Kothimbir Vadi (Coriander Cake),130,18,6,5,160,4,100,2,,
301,Vegetable Idiyappam,140,28,4,3,130,3,40,1,,
302,Wild Rice Pulao,210,35,6,5,200,5,50,1.8,,
303,Lotus Stem Curry,100,15,3,3,130,4,60,1.5,,
304,Masoor Dal Usal (Red Lentil Curry),140,20,8,4,160,6,60,2.5,,
305,Sweet Potato Raita,100,15,4,3,120,3,80,1,,
306,Amla Rice (Gooseberry Rice),150,28,4,3,120,4,40,1.5,,
307,Karela Chips,100,15,3,4,120,4,40,1.2,,
308,Lobia Biryani (Black-eyed Beans Pilaf),210,35,9,6,220,7,80,2.5,,
309,Soya Kabab,150,12,12,6,180,4,100,3,,
310,Cheese Paneer Broccoli Stir Fry,180,14,14,9,200,5,220,2.5,,
311,Sprouted Moth Beans Curry,140,20,9,4,160,7,80,3,,
312,Lauki Bharta (Bottle Gourd Mash),90,12,3,3,110,4,40,1,,
313,Dill Leaves Sabzi,80,10,4,3,110,4,100,2.5,,
314,Ragi Dosa,110,20,3,2,150,4,120,2.5,,
315,Healthy Poha with Veggies,150,30,4,3,120,4,50,1.5,,
316,Oats Idli,100,18,4,2,120,3,50,1.5,,
317,Broken Wheat Pongal,180,30,6,4,160,4,50,1.5,,
318,Vegetable Semiya Upma,160,28,4,4,190,3,40,1.2,,
319,Multigrain Dosa,130,22,5,3,140,4,80,1.8,,
320,Quinoa Vegetable Biryani,220,35,8,6,200,5,60,2.2,,
321,Millet Pongal,180,30,6,4,160,5,60,2,,
322,Cauliflower Paratha,180,28,6,6,200,5,80,1.8,,
323,Beetroot Paratha,140,25,5,3,180,4,80,1.5,,
324,Sattu Paratha,160,25,7,5,180,5,90,2.2,,
325,Barley Khichdi,190,35,7,4,170,6,60,2.2,,
326,Brown Rice Kheer (Dessert),180,30,4,5,120,2,150,1,,
327,Ragi Cookies,120,18,4,4,100,3,100,2.5,,
328,Makhana (Fox Nut) Curry,130,20,4,4,120,3,40,1.5,,
329,Moong Dal Sprouts Salad,70,10,6,2,50,4,40,1.5,,
330,Khichu (Steamed Rice Dough),100,20,3,1,80,2,20,0.7,,
331,Dahi Idli (Yogurt Idli),90,16,5,2,120,2,100,1,,
332,Bajra Vegetable Soup,110,20,4,3,150,4,50,1.5,,
333,Millet Upma,160,28,5,4,170,5,50,1.8,,
334,Jackfruit Seeds Curry,140,25,4,5,160,6,60,2,,
335,Paneer Stuffed Moong Dal Chilla,170,18,12,6,180,5,150,2.5,,
336,Ragi Ladoo,150,25,4,5,100,4,120,2.5,,
337,Nachni (Finger Millet) Barfi,180,30,4,6,120,3,100,2,,
338,Three-Flour khakra,130,20,4,4,150,4,60,1.5,,
339,Oat Cookies and Muffins,140,22,4,5,120,3,60,1.5,,
340,Roasted Makhana Snack,120,20,4,3,80,3,30,1.2,,
341,Granola Bars (with Indian flavors),160,25,5,5,100,4,60,1.8,,
342,Assorted Nuts and Seeds Snack,180,10,6,12,50,4,60,2,,
343,Tomato Cucumber Salad with Lemon,50,8,2,1,100,2,30,0.7,,
344,Beetroot and Carrot Salad,60,12,2,1,80,3,40,1,,
345,Harabhara Kabab (Green Veggies Patty),130,15,6,6,160,5,80,2,,
346,Methi Malai Murg (Fenugreek & Chicken),200,6,22,10,350,3,120,2.5,,
347,Grilled Tandoori Fish Tikka,160,2,22,6,300,0,50,1.8,,
348,Egg Bhurji with Veggies,160,8,12,9,250,3,100,2,,
349,Chicken Pulao,220,30,15,8,350,4,60,2,,
350,Paneer Bhurji with Spinach,170,8,14,10,190,3,220,2,,
351,Daliya (Broken Wheat) Upma,170,30,5,4,180,4,50,1.5,,
352,Pumpkin Soup Indian Style,90,15,3,2,150,4,50,1.2,,
353,Sprouted Lentil Rice Pulao,200,35,8,5,180,7,70,2.5,,
354,Varagu Upma (Kodo Millet Upma),160,28,5,4,170,5,50,1.8,,
355,Little Millet Pongal,170,30,6,4,160,5,60,2,,
356,Bansi Rava Upma (Durum Wheat Semolina),160,28,5,4,170,4,50,1.5,,
357,Lapsi (Broken Wheat Porridge),150,28,4,3,120,4,40,1.2,,
358,Sama ki Khichdi (Barnyard Millet Khichdi),160,30,5,3,150,5,50,1.8,,
359,Jowar Roti (Sorghum Flatbread),140,28,4,3,120,4,40,1.5,,
360,Rice Phirni (slightly sweet but can be savory),180,30,5,5,120,2,150,1,
361,Navratan Pulao (Mixed Nut & Vegetable Pulao),240,40,8,8,300,6,80,2.5,,
362,Hara Pulao (Green Rice with Spinach & Peas),200,35,6,5,220,5,70,2,,
363,Barley Kichadi,190,35,7,4,170,6,60,2.2,,
364,Chow Chow Dal (Chayote Squash with Lentils),140,20,6,4,160,5,60,1.8,,
365,Kulith Usal (Horse Gram Curry),150,20,10,5,180,7,80,3,,
366,Sprouted Moth Bean Curry,140,20,9,4,160,7,80,3,,
367,Choliya (Fresh Green Chickpea Curry),130,20,7,4,150,6,70,2.5,,
368,Kala Vatana Usal (Black Pea Curry),160,25,9,5,180,8,90,3.2,,
369,Mixed Sprout Sundal (South Indian no repeats),120,18,8,3,130,7,70,2.5,
370,Moong Dal Handvo (Lentil-Rice Savory Cake),160,22,8,5,180,6,80,2.2,,
371,Pattani Kurma (Peas in Coconut Gravy),170,22,6,7,190,5,70,1.8,,
372,Chana Dal Pulav,200,35,8,5,200,7,80,2.5,,
373,Bhutte ka Kees (Grated Corn Snack MP),120,20,4,3,100,3,30,0.8,
374,Turai Patoli (Ridge Gourd with split green gram Andhra cuisine),130,18,6,4,150,5,60,1.8,
375,Kundru Ki Sabzi (Ivy Gourd Stir Fry),80,10,3,3,100,3,40,1,,
376,Baigan Kalonji (Eggplant with Nigella seeds),100,12,3,4,120,4,50,1.2,,
377,Kundru Chana (Ivy Gourd and Bengal Gram Curry),140,20,7,5,160,6,70,2,,
378,Pumpkin Thoran (Kerala Style),110,18,3,4,130,5,50,1.5,,
379,Mattar Nimona (Green Pea Curry Uttar Pradesh),150,22,6,5,170,6,60,2,
380,Ringna No Oro (Roasted Brinjal Mash Gujarat),90,12,3,4,110,4,40,1,
381,Patta Gobi Chana Dal (Cabbage with Bengal Gram),130,18,6,4,150,5,70,1.8,,
382,Shakarkandi Chaat (Sweet Potato Snack),120,25,2,3,100,4,40,1,,
383,Kand Sabzi (Purple Yam Curry Western India),140,25,3,5,150,6,60,1.8,
384,Arbi Masala (Taro Root Curry),150,25,4,5,160,6,60,1.8,,
385,Kachhe Kele ke Kebab (Raw Banana Cutlets),130,20,4,5,140,5,50,1.5,,
386,Suran Fry (Yam Fry Maharashtra),160,25,4,6,180,5,50,1.5,
387,Ratalu Pattice (Sweet Potato Tikkis),140,25,3,5,150,5,50,1.5,,
388,Batata Bhaji (Maharashtrian Potato Stir Fry),120,20,3,4,150,4,40,1,,
